# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	27429
#@/user_id	659266f3-df3f-408b-a1c2-a69bcad06620
a 	啊	c=16 d=1.03335 t=9474
a ju 	阿居	c=3 d=2.98506 t=6588
a li 	阿里	c=1 d=1 t=19688
a li ba ba 	阿里巴巴	c=4 d=1.99501 t=22395
a li yun 	阿里雲	c=1 d=1 t=10193
ai 	唉	c=1 d=1 t=24805
ai 	愛	c=2 d=1 t=8181
ai 	癌	c=1 d=1 t=2910
ai 	艾	c=1 d=1 t=430
ai dou da 	愛鬥大	c=1 d=1 t=22690
ai le 	愛了	c=1 d=1 t=14234
an 	按	c=3 d=1.98512 t=7170
an chan na 	安禅那	c=0 d=0.1 t=4109
an chan na kao 	安禅那靠	c=1 d=1 t=4110
an jian 	按鍵	c=1 d=1 t=5979
an jian 	案件	c=1 d=1 t=5977
an pai 	安排	c=0 d=0.1 t=17508
an pai le 	安排了	c=1 d=1 t=17509
an quan 	安全	c=7 d=1.20599 t=18051
an quan de 	安全的	c=1 d=1 t=19408
an xu 	按需	c=0 d=0.1 t=27040
an xu can jia 	按需參加	c=1 d=1 t=27041
an yuan 	安源	c=1 d=1 t=20685
an zhao 	按照	c=6 d=1 t=22902
an zhuang 	安裝	c=7 d=1 t=20789
ao bai 	鰲拜	c=2 d=1.99005 t=11108
ba 	吧	c=12 d=0.1 t=26633
ba 	把	c=135 d=1.95723 t=27304
ba gua 	八卦	c=1 d=1 t=9394
ba le 	拔了	c=1 d=1 t=5108
ba ta 	把它	c=3 d=1 t=22135
ba wang ying shang gong 	霸王硬上弓	c=1 d=1 t=23128
bai du 	百度	c=2 d=1 t=21183
bai fen bi 	百分比	c=1 d=1 t=13983
bai ke 	百科	c=0 d=0.1 t=4755
bai lan 	擺爛	c=1 d=1 t=23130
bai zhe 	敗者	c=2 d=2.06362 t=27386
bai zhe shu 	敗者樹	c=2 d=1.96561 t=27390
ban 	半	c=5 d=1 t=21826
ban 	版	c=1 d=1 t=15299
ban 	班	c=0 d=0.1 t=17793
ban 	辦	c=4 d=0.1 t=21824
ban ben 	版本	c=26 d=1 t=27141
ban ben hao 	版本號	c=3 d=1.93061 t=1219
ban dao ti 	半導體	c=1 d=1 t=19318
ban diao zi 	半吊子	c=1 d=1 t=1178
ban gong 	辦公	c=0 d=0.1 t=25713
ban gong shi 	辦公事	c=1 d=1 t=7415
ban gong shi 	辦公室	c=1 d=1 t=7416
ban gong yi 	辦公椅	c=2 d=1.00149 t=27016
